"x","y"
20.87,43.51
20.59,43.5
21.96,44.63
24.41,52.03
16.99,41.86
20.71,44.39
18.08,41.44
24.83,51.7
19.31,43.47
13.97,40.82
20.04,42.93
16.43,40.24
13.86,38.86
20.32,44.26
18.18,42.41
18.99,43.59
23.36,47.7
22,44.86
23.73,48.31
21.58,44.59
24.22,49.19
17.2,41.91
19.94,43.07
15.98,41.04
17.24,40.19
20.59,44.31
21.37,45.39
25.15,54.04
12.06,40.4
23.59,49.41
23.9,50
14.21,39.92
23.55,47.21
22.81,47.27
15.71,42.24
25.91,54.79
19.28,42.63
25.57,54.49
20.68,44.21
20.22,42.5
20.49,43.68
21.04,44.06
20.76,42.93
20.03,44.04
27.14,58.99
19.81,43.11
17.07,40.51
23.28,47.66
18.96,42.14
18.34,41.69
18.96,42.44
20.61,43.79
22.26,45.18
17.94,41.68
26.83,58.01
15.88,42.83
16.26,41.46
20.96,45.15
19.04,42.32
21.33,44.38
20.39,43.3
19.58,42.32
18.84,42.96
22.42,47.09
16.82,40.51
27.44,63.15
26.14,55.66
17.22,42.61
29.59,73.18
22.1,45.61
15.71,39.69
18.17,43.44
20.96,44.56
21.97,46.06
18.12,41.55
23.21,48.24
15.74,40.24
17.52,42.7
15.97,41.97
10.66,41.7
